,ville_principale,Code,Libellé,dist_metropole,temps_trajet,vrai_temps
23,Bordeaux,33487,Saint-Vincent-de-Paul,149.485,107.666666666667,22
92,Grenoble,38187,Le Gua,767.995,441.316666666667,38
193,Lille,59477,Provin,287.786,188.466666666667,27
241,Lyon,69096,Grigny,437.217,244.25,25
347,Marseille,13087,Rousset,191.135,127.183333333333,33
387,Metz,57352,Jussy,296.532,173.316666666667,16
394,Metz,57447,Marly,363.367,221.2,20
421,Montpellier,34027,Beaulieu,336.118,224.3,30
477,Nantes,44074,Indre,316.089,210.083333333333,19
547,Orléans,45043,Bou,394.136,240.583333333333,23
550,Orléans,45100,Combleux,595.88,337.416666666667,16
642,Paris,94056,Périgny,474.897,283.033333333333,39
732,Rennes,35275,Saint-Gilles,995.841,555.25,18
819,Saint-Étienne,42053,Châteauneuf,262.064,168.916666666667,26
864,Saint-Étienne,42330,Villars,296.081,195.8,14
933,Toulouse,31355,Mons,550.08,331.983333333333,25
938,Toulouse,31467,Saint-Alban,788.086,437.3,21
